"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"410",410,"METASTATIC BREAST CANCER","ERBB2","Negative","NA","Protein Expression","CYCLOPHOSPHAMIDE, LYSO-THERMOSENSITIVE LIPOSOMAL DOXORUBICIN","UNK, UNK","I","Advanced, First line","Incidence of adverse events assessed by CTCAE v 5.0 , Incidence of dose limiting toxicities, Incidence of necessity for dose adjustments, delay or early cessation, Incidence and severity of post-procedural pain, Patient reported tolerability via an adapted version of the Cancer Therapy Satisfaction Questionnaire (CTSQ), Patient reported tolerability via the Functional Assessment of Cancer Therapy - Breast (FACT-B) questionnaire, Incidence of cardiotoxity, Description of MR thermometry data (describing the temperatures achieved), Duration of procedures on a treatment day , Number of completed cycles with MR-HIFU induced hyperthermia, The number of cycles in which hyperthermia was sufficient: at least 30 minutes at the target temperature of 40-42°C","NCT03749850","Used with MR-HIFU induced hyperthermia","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03749850",1,"DB00531,NA","2907, NA","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"411",411,"STAGE IIB-III TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","ATORVASTATIN","UNK","II","Advanced&Non-advanced, Second line","Proportions of patients with undetectable circulating tumor cells (CTC","NCT03872388","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03872388",1,"DB01076","60823","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"412",412,"LOCALIZED BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","IPILIMUMAB, NIVOLUMAB, TALIMOGENE LAHERPAREPVEC","UNK, UNK, UNK","I","First line","Incidence and severity of adverse events (AEs)","NCT04185311","includes different biomarker combonations","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04185311",1,"DB06186,DB09035,DB13896","NA, NA, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"413",413,"LOCALIZED BREAST CANCER","ERBB2, ERS1","Negative, Positive","AND","Protein Expression, Protein Expression","IPILIMUMAB, NIVOLUMAB, TALIMOGENE LAHERPAREPVEC","UNK, UNK, UNK","I","First line","Incidence and severity of adverse events (AEs)","NCT04185311","includes different biomarker combonations","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04185311",1,"DB06186,DB09035,DB13896","NA, NA, NA","ENSG00000141736, NA","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","pass"
"414",414,"BREAST CANCER","ERBB2","Positive","NA","Mutation","POZIOTINIB HYDROCHLORIDE","UNK","II","Advanced, First&Second  line","Objective Response Rate (ORR)","NCT04172597","included other cancers, but had the specific breast cancer trial specifically explained. ""Patients with breast or gastric cancers with HER2 copy number alterations/amplifications/over expressions and no HER2 activating mutations.""","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04172597",1,"NA","NA","ENSG00000141736","MONDO_0007254","ERBB2 MUTATION POSITIVE","failed drug"
"415",415,"LOCALLY ADVANCED","ERBB2, ERS1","Negative, Positive","AND","Protein Expression, Protein Expression","ALRN-6924, PACLITAXEL","MDM2/MDMX, UNK","I","Advanced, First&Second line","Maximum tolerated dose (MTD) of combination of ALRN-6924 and paclitaxel, defined as the isotonic estimate of the toxicity rate closest to 0.30","NCT03725436","Expansion cohort only: estrogen receptor (ER) positive (> 1%), human epidermal growth factor 2 (HER2) negative, WT TP53 metastatic or inoperable locally advanced or locally recurrent breast cancer. Patients can be HER2 0+ or 1+, 2+ or FISH non-amplified to be considered HER2 negative.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03725436",1,"NA,DB01229","NA, 36314","ENSG00000141736, NA","EFO_0005856","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","failed drug"
"416",416,"REFRACTORY OR RELAPSED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","PEMBROLIZUMAB, CYCLOPHOSPHAMIDE, GX-I7","UNK, UNK, UNK","I/II","Advanced&Non-Advanced,, Second Line","Incidence and nature of DLTs, Incidence, nature and severity of adverse events, Objective response rate (ORR)","NCT03752723","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03752723",1,"DB09037,DB00531,NA","NA, 2907, NA","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"417",417,"EARLY BREAST CANCER","ERBB2","Positive","NA","Protein Expression","TRASTUZUMAB","UNK","III","First line","Rate of Adverse Events, Immunogenicity Assessments, Disease-Free Survival, Overall Survival","NCT04109391","did not say HER+ in criteria, but stated it explictly throughout the trial","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04109391",1,"DB00072","3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"418",418,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","RUCAPARIB, SACITUZUMAB GOVITECAN","UNK, UNK","I/II","Advanced, Second Line","Incidence of Treatment-Emergent Adverse Events (Safety and Tolerability), Number of participants who experience dose limiting toxicity as defined in the protocol, Overall Response Rate","NCT03992131","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03992131",1,"DB12332,DB12893","9931954, 91668186","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"419",419,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Positive, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein expression","PYROTINIB, TRASTUZUMAB, AROMATASE INHIBITOR","UNK, UNK, Aromatase","II","Advanced, First line","Progression-Free Survival (PFS)","NCT03910712","The investigator chose an aromatase inhibitor (either anastrozole, letrozole or exemestane)","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03910712",1,"DB14993,DB00072,NA","51039030, 3001322, NA","ENSG00000141736, NA, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"420",420,"BREAST CANCER","ERBB2, ERS1, PGR, Ki67","Negative, Positive, Positive, Positive","AND, AND/OR, AND","Protein Expression, Protein expression, Protein expression, Protein Expression","PALBOCICLIB, LETROZOLE","UNK. UNK","I","Second line","Complete Cell Cycle Arrest (CCCA)","NCT04130152","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04130152",1,"DB09073,DB01006","11478676, 3902","ENSG00000141736, NA, ENSG00000082175, ENSG00000148773","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"421",421,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR, EphA2","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein expression, Protein expression, Protein Expression","BT5528, NIVOLUMAB","EphA2, UNK","I/II","Advanced, First&Second  line","Number of participants receiving BT5528 alone and in combination with nivolumab with treatment-emergent adverse events, Maximum tolerated dose (MTD) by the number of participants with dose limiting toxicities from BT5528 treatment alone and in combination with nivolumab , Objective response rate by RECIST 1.1 in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab, Duration of response by RECIST 1.1 in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab, Clinical benefit rate by RECIST 1.1 in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab , Time to tumor progression by RECIST 1.1 in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab, Progression free survival by RECIST 1.1 in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab, Progression free survival at 6 months by RECIST 1.1 in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab, Overall survival at 1 year in participants with selected solid tumor indications receiving BT5528 treatment alone and in combination with nivolumab","NCT04180371","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04180371",1,"NA,DB09035","NA, NA","ENSG00000141736, NA, ENSG00000082175, ENSG00000142627","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND EPHA2 PROTEIN EXPRESSION POSITIVE","failed drug"
"422",422,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","ATEZOLIZUMAB, G100","UNK, UNK","II","Advanced, First&Second line","Assessment of the antitumor activity of atezolizumab combined with G100 and radiotherapy (independently for each population).","NCT03915678","Included other cancers, but had the specific breast cancer trial specifically explained, also required radiotherapy","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03915678",1,"DB11595,NA","NA, 159968","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"423",423,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","DKY709, PDR001","UNK, PDL1/PDL2","I","Advanced, Second Line","Safety of DKY709 single agent treatment or DKY709 in combination with PDR001, incidence of Dose Limiting Toxicities, Tolerability of DKY709 single agent treatment or DKY709 in combination with PDR00","NCT03891953","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03891953",1,"NA,NA","NA, NA","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"424",424,"ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","TRX518, CYCLOPHOSPHAMIDE, AVELUMAB","UNK, UNK, UNK","I/II","Advanced, Second Line","Number of subjects with dose limiting toxicities which will be graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI-CTCAE v5.0), Identify the recommended Phase 2 dose (RP2D) of CTX in combination with fixed doses of TRX518 ± avelumab, Efficacy in Breast and Ovarian Cancer Groups: objective response rate","NCT03861403","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03861403",1,"NA,DB00531,DB11945","NA, 2907, NA","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"425",425,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein expression","TRX518, CYCLOPHOSPHAMIDE, AVELUMAB","UNK, UNK, UNK","I/II","Advanced, Second Line","Number of subjects with dose limiting toxicities which will be graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI-CTCAE v5.0), Identify the recommended Phase 2 dose (RP2D) of CTX in combination with fixed doses of TRX518 ± avelumab, Efficacy in Breast and Ovarian Cancer Groups: objective response rate","NCT03861403","Included other cancers, but had the specific breast cancer trial specifically explained. Only postmenopausal women are eligible","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03861403",1,"NA,DB00531,DB11945","NA, 2907, NA","ENSG00000141736, NA, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"426",426,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","TREMELIMUMAB, DURVALUMAB","CTLA4, PDL1","II","Advanced, Second Line","Objective tumour response rate","NCT03982173","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03982173",1,"DB11771,DB11714","NA, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"427",427,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","CB-839, TALAZOPARIB","UNK, UNK","I/II","Advanced, First&Second line","Safety and tolerability of CB-839 in combination with talazoparib: Number of participants with treatment related adverse events, Maximum tolerated dose and/ or Recommended Phase 2 Dose","NCT03875313","Exclusions: Receipt of any anticancer therapy within the following windows: small molecule tyrosine kinase inhibitor therapy (including investigational) within the prior 2 weeks or 5 half-lives prior to C1D1, whichever is longer; any type of anti-cancer antibody or cytotoxic chemotherapy within 4 weeks prior to C1D1; radiation therapy for bone metastasis within 2 weeks prior or any other external radiation therapy within 4 weeks prior to C1D1; patients with clinically relevant ongoing complications from prior radiation therapy are not eligible.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03875313",1,"NA,DB11760","71577426, 135565082","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"428",428,"LOCALLY ADVANCED BREAST CANCER","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","IPATASERTIB, FULVESTRANT, LETROZOLE, PALBOCICLIB","AKT, UNK, Aromatase, CDK4/CDK6","I","Advanced, Second line","Incidence of Treatment-Emergent Adverse Events ","NCT03959891","Had different drug combinations, for postmenopausal women only","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03959891",1,"DB11743,DB00947,DB01006,DB09073","24788740, 104741, 3902, 11478676","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"429",429,"INVASIVE DUCTAL BREAST CANCER (STAGES I-III)","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND","Protein Expression, Protein Expression, Protein Expression","TAMOXIFEN CITRATE, LETROZOLE, EXEMESTANE","UNK, UNK, UNK","II","Advanced&Non-advanced, First Line","Change in percent expression of Ki67 measured by immunohistochemistry, Change in percent expression of Ki67 measured by single-gene read out","NCT04129216","Trial treats pts, but were also studying the changes in genetic profiles","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04129216",1,"NA,DB01006,DB00990","2733525, 3902, 60198","ENSG00000141736, NA, ENSG00000082175","EFO_0000186","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","pass"
"430",430,"NON-METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND","Protein Expression, Protein Expression, Protein Expression","PELAREOREP, LETROZOLE, ATEZOLIZUMAB","UNK, UNK, UNK","II","First Line","Changes from baseline in a score for tumor cellularity and tumor infiltrating lymphocytes (CelTIL score) in women with operable early breast cancer treated with pelareorep in combination with different therapies. [ Time Frame: The CelTIL score will be measured from on-treatment tumor biopsies collected at baseline (pre-treatment), day 3, and at time of surgery","NCT04102618","only postmenopausal women","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04102618",1,"NA,DB01006,DB11595","NA, 3902, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"431",431,"NON-METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB, PELAREOREP","UNK, UNK","II","First Line","Changes from baseline in a score for tumor cellularity and tumor infiltrating lymphocytes (CelTIL score) in women with operable early breast cancer treated with pelareorep in combination with different therapies. [ Time Frame: The CelTIL score will be measured from on-treatment tumor biopsies collected at baseline (pre-treatment), day 3, and at time of surgery","NCT04102618","only postmenopausal women","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04102618",1,"DB11595,NA","NA, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"432",432,"NON-METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Positive, Positive, Positive","AND, AND","Protein Expression&amplification, protein expression, protein expression","PELAREOREP, TRASTUZUMAB, ATEZOLIZUMAB","UNK, UNK, UNK","II","First Line","Changes from baseline in a score for tumor cellularity and tumor infiltrating lymphocytes (CelTIL score) in women with operable early breast cancer treated with pelareorep in combination with different therapies. [ Time Frame: The CelTIL score will be measured from on-treatment tumor biopsies collected at baseline (pre-treatment), day 3, and at time of surgery","NCT04102618","only postmenopausal women","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04102618",1,"NA,DB00072,DB11595","NA, 3001322, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"433",433,"NON-METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Positive, Negative, Negative","AND, AND","Protein Expression&amplification, protein expression, protein expression","PELAREOREP, TRASTUZUMAB, ATEZOLIZUMAB","UNK, UNK, UNK","II","First Line","Changes from baseline in a score for tumor cellularity and tumor infiltrating lymphocytes (CelTIL score) in women with operable early breast cancer treated with pelareorep in combination with different therapies. [ Time Frame: The CelTIL score will be measured from on-treatment tumor biopsies collected at baseline (pre-treatment), day 3, and at time of surgery","NCT04102618","only postmenopausal women","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04102618",1,"NA,DB00072,DB11595","NA, 3001322, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
